# SNAP pin export table
#
# Product:	indices_20160510_SH_L8_sand_megarippel_tao
# Created on:	Thu Aug 24 17:08:00 CEST 2017

# Wavelength:								0.0	0.0	0.0	482.6	561.3	654.60004	864.6	1609.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Name	X	Y	Lon	Lat	Color	Label	Desc	flh	muschelindex	ndvi	reflec_483	reflec_561	reflec_655	reflec_865	reflec_1609	reflec_sum	sand-tr_abundance	sand-wc_abundance	schatten_abundance	steigung_nIR_SWIR1	steigung_red_nIR	summary_error
pin_3	1770.500922485633	1171.4909929017847	8.608408999999998	54.91884	java.awt.Color[r=0,g=0,b=255]	Pin 3		0.0029219054	0.052057274	0.26102352	0.015827125	0.031828895	0.044413373	0.07578903	-4.8207154E-4	0.1520313	-0.13555908	0.9678635	0.16769557	-0.10245984	0.1494079	0.003286231
pin_6	1248.4990884747976	2157.501571272034	8.368262999999985	54.65199299999999	java.awt.Color[r=0,g=0,b=255]	Pin 6		0.0033094008	0.06197282	0.2714741	0.018276287	0.034992404	0.047576874	0.08303447	0.03702074	0.16560376	0.19538973	0.6204126	0.1841977	-0.061813183	0.16884571	0.0031019612
pin_29	1923.4997924555094	1713.5018870864374	8.681171	54.77292600000001	java.awt.Color[r=0,g=0,b=255]	Pin 29		0.0029049003	0.0783557	0.26314816	0.021592861	0.039457023	0.054286562	0.09306073	0.08182001	0.18680432	0.60773206	0.21013671	0.1821312	-0.015100378	0.18463892	0.0027833423
pin_33	2219.500049600393	3550.509220998082	8.821385	54.27793000000006	java.awt.Color[r=0,g=0,b=255]	Pin 33		0.004110303	0.07918971	0.2739447	0.016796587	0.0377222	0.05354671	0.093953654	0.07309487	0.18522257	0.52541	0.29619786	0.17839213	-0.02802094	0.19241403	0.00493748
pin_39	2210.500791811047	3635.4934067607546	8.81734	54.25500999999999	java.awt.Color[r=0,g=0,b=255]	Pin 39		0.0042900024	0.072722994	0.23921928	0.020444816	0.040324435	0.054516166	0.08880021	0.066053525	0.18364081	0.46673158	0.36011112	0.1731573	-0.03055707	0.16325735	0.0024398074
pin_40	2161.500388040976	3939.5058533502743	8.795182	54.17300399999999	java.awt.Color[r=0,g=0,b=255]	Pin 40		0.006749144	0.0674633	0.24383189	0.017485416	0.04006931	0.052092515	0.085687734	0.04355184	0.17784956	0.25638655	0.5906708	0.1529426	-0.056603838	0.15997726	0.0030010121
pin_45	2494.5014582938047	4286.505146257238	8.948338	54.079605	java.awt.Color[r=0,g=0,b=255]	Pin 45		0.0041358136	0.08005672	0.23563142	0.02080199	0.041753113	0.057552114	0.09303522	0.08097811	0.19234045	0.5959876	0.23874755	0.16526483	-0.016197087	0.16896719	0.0031882601
pin_46	2365.5000652447807	4393.498524299978	8.889262	54.050715999999944	java.awt.Color[r=0,g=0,b=255]	Pin 46		0.0027745366	0.060540132	0.24305108	0.013480013	0.032696314	0.049413748	0.081146576	0.02679038	0.16325665	0.08509523	0.73598987	0.1789149	-0.073020145	0.15110871	0.0048796018
pin_53	2269.4996923591166	4709.507517064518	8.845588	53.96546000000001	java.awt.Color[r=0,g=0,b=255]	Pin 53		0.0067993198	0.0813726	0.28803474	0.018046683	0.040809162	0.052934416	0.09576502	0.08016173	0.18950859	0.60475683	0.2163669	0.17887627	-0.020960893	0.20395526	0.0044147954
pin_63	2347.5	3594.5000000000623	8.880394357213534	54.26614192729776	java.awt.Color[r=0,g=0,b=255]	Pin 63		0.004542319	0.071751505	0.2733784	0.013709618	0.03532406	0.05102101	0.0894125	0.045949977	0.17575757	0.23956805	0.606862	0.15356997	-0.058385987	0.18281665	0.0062581394
pin_4	1734.4994298959928	1330.5046355374468	8.591993	54.875916000000025	java.awt.Color[r=0,g=0,b=255]	Pin 4		0.0013652965	0.06519833	0.25732654	0.020546867	0.03540059	0.050026037	0.08469276	0.06574738	0.17011939	0.4239465	0.36080724	0.21524625	-0.02545054	0.16507965	0.0041140555
pin_30	1495.4995320725448	1314.5036033173965	8.480199999999998	54.87980300000001	java.awt.Color[r=0,g=0,b=255]	Pin 30		0.002162465	0.052478336	0.26103216	0.017970143	0.03231363	0.044591956	0.07609518	0.038806587	0.15300077	0.19338712	0.56145334	0.24515957	-0.050092146	0.15001537	0.0033547718
pin_31	1436.5005617622305	1309.502735974857	8.452595999999987	54.88103	java.awt.Color[r=0,g=0,b=255]	Pin 31		0.0017178264	0.043166377	0.29816943	0.012995278	0.026088672	0.037856758	0.07002329	0.005793909	0.13396873	-0.069119185	0.79546356	0.2736556	-0.08628343	0.15317398	0.0041256472
pin_32	1523.5016536802889	1291.4992352852908	8.493214999999996	54.88606000000001	java.awt.Color[r=0,g=0,b=255]	Pin 32		0.0024464792	0.040769864	0.25022414	0.0145515185	0.028665395	0.040050797	0.06678326	6.914857E-4	0.13549945	-0.113866635	0.8536648	0.2602018	-0.08878529	0.12729745	0.002516794
pin_62	2351.4999999999923	3590.5	8.882233727738848	54.26722224047183	java.awt.Color[r=0,g=0,b=255]	Pin 62		0.004422467	0.07125881	0.29171214	0.012918746	0.033946402	0.049209647	0.08974416	0.06546675	0.1729002	0.43627736	0.3440091	0.21971355	-0.032613397	0.1930215	0.0066803843
