# SNAP pin export table
#
# Product:	indices_20160510_SH_L8_sand_megarippel_tao
# Created on:	Mon Aug 28 14:33:21 CEST 2017

# Wavelength:								0.0	0.0	0.0	0.0	0.0	0.0	443.0	482.6	561.3	654.60004	864.6	1609.0	2201.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Name	X	Y	Lon	Lat	Color	Label	Desc	albedo_vis	flh	index_flags	muschelindex	muschelindex_nds	ndvi	reflec_443	reflec_483	reflec_561	reflec_655	reflec_865	reflec_1609	reflec_2201	reflec_sum	sand-tr_abundance	sand-wc_abundance	schatten_abundance	steig_blue_nir_mal_blue	steigung_nIR_SWIR1	steigung_red_nIR	summary_error	tsx_mean	tsx_skew	tsx_stdv
pin_7	1715.5003917297058	1879.4991843116159	8.584630999999998	54.72787999999998	java.awt.Color[r=0,g=0,b=255]	Pin 7		0.040818106	0.0047493754	0.0	0.07671456	0.044369474	0.25225422	0.018041695	0.02457778	0.043130763	0.05474578	0.091683075	0.07340101	0.042369954	0.12245432	0.5219949	0.33102915	0.14697593	0.076974526	-0.024559462	0.1758919	0.0014130191	0.0	0.0	0.0
pin_8	1923.5005670360213	1710.5011330759153	8.681165	54.77373499999996	java.awt.Color[r=0,g=0,b=255]	Pin 8		0.043607432	0.003874462	0.0	0.091902204	0.048637755	0.25245774	0.019776518	0.025700314	0.04522276	0.059899226	0.1003572	0.09202486	0.056860838	0.1308223	0.69788414	0.1919241	0.11019175	0.08789194	-0.0111933565	0.19265702	0.0018858565	0.0	0.0	0.0
pin_10	2043.5005950335762	1997.4955201547903	8.737628	54.69649500000002	java.awt.Color[r=0,g=0,b=255]	Pin 10		0.03803729	0.0028323196	0.0	0.07328126	0.0402432	0.24253112	0.01462307	0.02072545	0.03897229	0.054414123	0.08925943	0.04898592	0.027700488	0.11411186	0.29870233	0.5751529	0.12614477	0.077101395	-0.054101977	0.16593005	0.0024808706	0.0	0.0	0.0
pin_11	1907.4984716827573	2108.493885892816	8.674563	54.666416000000005	java.awt.Color[r=0,g=0,b=255]	Pin 11		0.045529347	0.001951173	0.0	0.08842403	0.034197304	0.21199274	0.021409282	0.02779231	0.045835048	0.06296068	0.09683652	0.08631015	0.05548318	0.13658804	0.6528583	0.24708535	0.10005635	0.08548361	-0.01414075	0.16131356	0.0019061518	0.0	0.0	0.0
pin_15	2159.500263232808	2191.500584358722	8.79189	54.644295	java.awt.Color[r=0,g=0,b=255]	Pin 15		0.04282506	0.0022782935	0.0	0.076917134	0.032404665	0.21375865	0.019393826	0.026491193	0.043436915	0.058547087	0.09038196	0.07638593	0.047242768	0.12847519	0.56073815	0.29455483	0.14470707	0.07586639	-0.018801758	0.15159464	0.0013069819	0.0	0.0	0.0
pin_47	2358.5003351417254	4376.494045189116	8.886042	54.05529800000002	java.awt.Color[r=0,g=0,b=255]	Pin 47		0.04506163	0.0058766566	0.0	0.094776876	0.046173893	0.2436638	0.016459936	0.02547071	0.047952555	0.06176161	0.101556264	0.10166844	0.068494365	0.13518487	0.8104932	0.06708429	0.122422524	0.08776078	1.506931E-4	0.18949836	0.0024343685	0.0	0.0	0.0
pin_64	2341.5	3596.5	8.877632287789638	54.265599904483814	java.awt.Color[r=0,g=0,b=255]	Pin 64		0.03852202	0.004674211	0.0	0.0768142	0.039571643	0.23744082	0.010439077	0.018786533	0.040579557	0.056199968	0.09119835	0.048041973	0.02831278	0.11556606	0.29140136	0.6008604	0.10773821	0.08061906	-0.05797471	0.16665897	0.0035151935	0.0	0.0	0.0
pin_3	1770.500922485633	1171.4909929017847	8.608408999999998	54.91884	java.awt.Color[r=0,g=0,b=255]	Pin 3		0.030689798	0.0029219054	0.0	0.052057274	0.038998973	0.26102352	0.011536101	0.015827125	0.031828895	0.044413373	0.07578903	-4.8207154E-4	-0.001306788	0.092069395	-0.13555908	0.9678635	0.16769557	0.06258052	-0.10245984	0.1494079	0.003286231	0.0	0.0	0.0
pin_6	1248.4990884747976	2157.501571272034	8.368262999999985	54.65199299999999	java.awt.Color[r=0,g=0,b=255]	Pin 6		0.03361519	0.0033094008	0.0	0.06197282	0.04583724	0.2714741	0.012224922	0.018276287	0.034992404	0.047576874	0.08303447	0.03702074	0.019255977	0.10084557	0.19538973	0.6204126	0.1841977	0.06708749	-0.061813183	0.16884571	0.0031019612	0.0	0.0	0.0
pin_29	1923.4997924555094	1713.5018870864374	8.681171	54.77292600000001	java.awt.Color[r=0,g=0,b=255]	Pin 29		0.038445484	0.0029049003	0.0	0.0783557	0.048587393	0.26314816	0.016970182	0.021592861	0.039457023	0.054286562	0.09306073	0.08182001	0.048518375	0.11533645	0.60773206	0.21013671	0.1821312	0.07519874	-0.015100378	0.18463892	0.0027833423	0.0	0.0	0.0
